задача,тест,режим,макс_AUC_признака,признак
A,2018-01-01,корректно (PIT),0.837,days_since_last
A,2018-01-01,прежний эталон (отзыв+доставка),0.837,days_since_last
A,2018-01-01,окно шире на 30 дней,0.95,days_since_last
A,2018-01-01,окно шире на 60 дней,0.983,days_since_last
A,2018-01-01,отсечки нет,0.933,days_since_last
A,2018-04-01,корректно (PIT),0.861,days_since_last
A,2018-04-01,прежний эталон (отзыв+доставка),0.861,days_since_last
A,2018-04-01,окно шире на 30 дней,0.957,days_since_last
A,2018-04-01,окно шире на 60 дней,0.985,days_since_last
A,2018-04-01,отсечки нет,0.928,days_since_last
A,2018-07-01,корректно (PIT),0.833,days_since_last
A,2018-07-01,прежний эталон (отзыв+доставка),0.833,days_since_last
A,2018-07-01,окно шире на 30 дней,0.952,days_since_last
A,2018-07-01,окно шире на 60 дней,1.0,days_since_last
A,2018-07-01,отсечки нет,1.0,days_since_last
B,2018-01-01,корректно (PIT),0.572,pay_value_sum
B,2018-01-01,прежний эталон (отзыв+доставка),0.623,review_score_mean
B,2018-01-01,окно шире на 30 дней,0.673,review_score_mean
B,2018-01-01,окно шире на 60 дней,0.744,review_score_mean
B,2018-01-01,отсечки нет,0.796,review_score_mean
B,2018-04-01,корректно (PIT),0.61,review_score_mean
B,2018-04-01,прежний эталон (отзыв+доставка),0.687,review_score_mean
B,2018-04-01,окно шире на 30 дней,0.723,review_score_mean
B,2018-04-01,окно шире на 60 дней,0.789,review_score_mean
B,2018-04-01,отсечки нет,0.804,review_score_mean
B,2018-07-01,корректно (PIT),0.602,review_score_mean
B,2018-07-01,прежний эталон (отзыв+доставка),0.657,review_score_mean
B,2018-07-01,окно шире на 30 дней,0.709,review_score_mean
B,2018-07-01,окно шире на 60 дней,0.819,review_score_mean
B,2018-07-01,отсечки нет,0.834,review_score_mean
